Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
518,Downtown,443.550000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"NN4TT near Orlando, Orange County, Florida CLOSED",,,,
519,KG4TRV,443.550000,+,5.000000,Tone,146.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KG4TRV near Miami, Miami-Dade County, Florida OPEN",,,,
520,WC4EM,443.550000,+,5.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"WC4EM near Sarasota, Sarasota County, Florida OPEN EOC repeater.",,,,
521,I-75/Exit 279,443.575000,+,5.000000,TSQL,88.5,146.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"K4EX near Wesley Chapel, Pasco County, Florida OPEN In C4FM mode this repeater is connected with the 443.600 at St. Leo, Fl. Connect to Room#81609 --FLORIDA--WCF--",,,,
522,KF4LZA,443.587500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,12.50,,50W,"KF4LZA near Fort Lauderdale, Broward County, Florida OPEN This is the Central Broward Co. Repeater for the KF4LZA DMR Linked repeater network.",,,,
523,KC4GOL,443.600000,+,5.000000,TSQL,88.5,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"KC4GOL near Live Oak, Suwannee County, Florida OPEN",,,,
524,Doral,443.600000,+,5.000000,TSQL,88.5,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"N4LJQ near Miami, Miami-Dade County, Florida OPEN",,,,
525,University,443.600000,+,5.000000,TSQL,88.5,146.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"K4EX near Dade City, Pasco County, Florida OPEN",,,,
526,NI4CE,443.600000,+,5.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"NI4CE near Babcock Ranch, Charlotte County, Florida OPEN",,,,
527,W2GGI,443.625000,+,5.000000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,FM,5.00,,50W,"W2GGI near Fort Lauderdale, Broward County, Florida OPEN See W2GGI.com for talk groups",,,,
528,W4AES,443.625000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,"W4AES near Orlando, Orange County, Florida OPEN",,,,
529,AC4XQ,443.637500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,12.50,,50W,"AC4XQ near Riviera Beach, Palm Beach County, Florida OPEN See ac4xq.net for more info.",,,,
530,K5MI,443.650000,+,5.000000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"K5MI near Marco Island, Collier County, Florida OPEN",,,,
531,K4PSL,443.650000,+,5.000000,Tone,107.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"K4PSL near Port Saint Lucie, Saint Lucie County, Florida OPEN",,,,
532,N4RQY,443.675000,+,5.000000,TSQL,88.5,131.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"N4RQY near Davie, Broward County, Florida OPEN",,,,
533,W4RNT,443.675000,+,5.000000,TSQL,88.5,146.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"W4RNT near Brandon, Hillsborough County, Florida OPEN",,,,
534,W3LR,443.687500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,12.50,,50W,"W3LR near Dade City, Pasco County, Florida OPEN Local TG=9 CC=1 TS=1",,,,
535,WB4OQF,443.700000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"WB4OQF near Pensacola, Escambia County, Florida OPEN",,,,
536,KR4HO,443.700000,+,5.000000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KR4HO near Live Oak, Suwannee County, Florida OPEN",,,,
537,W4OT,443.700000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W4OT near Vero Beach, Indian River County, Florida OPEN",,,,
538,KF4LZA,443.712500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,12.50,,50W,"KF4LZA near Tamarac, Broward County, Florida OPEN This is the Northwest Broward Co. repeater for the KF4LZA DMR Linked system.",,,,
539,K1EWE,443.725000,+,5.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"K1EWE near Summerfield, Marion County, Florida OPEN",,,,
540,N4KVL,443.725000,+,5.000000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,FM,5.00,,50W,"N4KVL near Loxahatchee, Palm Beach County, Florida OPEN",,,,
541,AC4XQ,443.737500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,12.50,,50W,"AC4XQ near Titusville, Brevard County, Florida OPEN his system is an internally linked system. No other talk groups allowed, Coverage from the Keys to Daytona. Time slot 1 is 90175 Time slot 2 is 90275. TS2 90275 is the primary talk group.",,,,
542,AC4XQ,443.737500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,12.50,,50W,"AC4XQ near South Dade, Miami-Dade County, Florida OPEN AC4XQ.net for more info.  This system is an internally linked system. No other talk groups allowed, Coverage from the Keys to Daytona. TS1 is 90175 TS2 is 90275",,,,
543,KG4IDW,443.750000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KG4IDW near DeFuniak Springs, Walton County, Florida OPEN Located on 500 foot tower owned by the Walton County Board of County Commissioners located 1 mile NE of DeFuniak Springs, FL.",,,,
544,Pasco County EMA,443.750000,+,5.000000,Tone,146.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W4PEM near Dade City, Pasco County, Florida OPEN Emergency power",,,,
545,W4CRL,443.775000,+,5.000000,TSQL,88.5,156.7,023,NN,023,Tone->Tone,FM,5.00,,50W,"W4CRL near Miami, Miami-Dade County, Florida OPEN",,,,
546,Oak Hill Hospital,443.800000,+,5.000000,TSQL,88.5,146.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"KF4IXU near Spring Hill, Hernando County, Florida OPEN      We are back on the air after 3 plus years of not having a site location.",,,,
547,KM4CFZ,443.800000,+,5.000000,TSQL,88.5,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"KM4CFZ near Starke, Bradford County, Florida OPEN",,,,
548,W4VCO,443.812500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,12.50,,50W,"W4VCO near Fort Meade, Hernando County, Florida OPEN Local 9 is Simulcast on all Polk County VCO Repeaters",,,,
549,K4PAL,443.825000,+,5.000000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"K4PAL near Aventura, Miami-Dade County, Florida OPEN",,,,
550,KA4EPS,443.825000,+,5.000000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,FM,5.00,,50W,"KA4EPS near Jupiter, Palm Beach County, Florida OPEN Linked to Fla Hub 27892",,,,
551,KE4NZG,443.825000,+,5.000000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KE4NZG near Ormond Beach, Volusia County, Florida OPEN",,,,
552,W4RPT,443.825000,+,5.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W4RPT near Brooksville, Hernando County, Florida OPEN",,,,
553,AC4XQ,443.837500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,12.50,,50W,"AC4XQ near Port Saint Lucie, Saint Lucie County, Florida OPEN This system is an internally linked system. No other talk groups allowed, Coverage from the Keys to Daytona. TS1 is 90175 TS2 is 90275  90275 is the primary talk group.",,,,
554,KM4KEW,443.850000,+,5.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KM4KEW near Orlando, Orange County, Florida OPEN",,,,
555,Fire Sta 16,443.850000,+,5.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"W4UC near Pensacola, Escambia County, Florida OPEN Secondary share with W4UC 145.450",,,,
556,NI4MX,443.875000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"NI4MX near Lakewood Ranch, Manatee County, Florida OPEN",,,,
557,N4GOA,443.875000,+,5.000000,TSQL,88.5,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"N4GOA near Ormond Beach, Volusia County, Florida OPEN",,,,
558,Sheriff&amp;#039;s Office Complex,443.875000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,"KG4NXO near Ocala, Marion County, Florida OPEN",,,,
559,N5ICT,443.900000,+,5.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"N5ICT near Naples, Collier County, Florida OPEN",,,,
560,WC4PEM,443.900000,+,5.000000,TSQL,88.5,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"WC4PEM near Kathleen, Polk County, Florida OPEN",,,,
561,KF4CWI,443.900000,+,5.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"KF4CWI near Hollister, Putnam County, Florida OPEN",,,,
562,KB4EC,443.900000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KB4EC near Miami, Miami-Dade County, Florida OPEN",,,,
563,KF4ACN,443.925000,+,5.000000,TSQL,88.5,131.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"KF4ACN near Riviera Beach, Palm Beach County, Florida OPEN",,,,
564,W4ABC,443.925000,+,5.000000,TSQL,88.5,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"W4ABC near Saint Petersburg, Pinellas County, Florida CLOSED",,,,
565,AC4XQ,443.937500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,12.50,,50W,"AC4XQ near West Boca Raton, Palm Beach County, Florida OPEN This system is an internally linked system. No other talk groups allowed, Coverage from the Keys to Daytona. Time slot1 is 90175 Time slot 2 is 90275  TS2-90275, is the primary talk group.",,,,
566,AE4S,443.950000,+,5.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"AE4S near Tallahassee, Leon County, Florida OPEN",,,,
567,Happiness Tower,443.950000,+,5.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"NI4CE near Lake Placid, Highlands County, Florida OPEN",,,,
568,K4EEX,443.975000,+,5.000000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,FM,5.00,,50W,"K4EEX near Lantana, Palm Beach County, Florida OPEN",,,,
569,KR4KZ,443.975000,+,5.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KR4KZ near Orlando, Orange County, Florida OPEN",,,,
